identification_type,site,gender,age,marital_status,number_of_children,blood_type,rh_blood,department,city,stratum,depend_people,hear_about_us,have_acquaintances,have_family_contact_center,referral_external,have_transportation,education_level,profession,learn_english,worked_before_call_center,risky_employee
5,0,1,21,5,0,2,1,66,1,4,1,4,0,0,0,0,3,1,1,0,1
5,0,1,25,5,0,3,1,76,3,3,0,0,0,0,0,0,2,0,3,0,1
5,0,0,27,5,0,3,1,66,3,4,0,3,0,0,0,0,1,0,4,0,1
2,0,1,28,4,0,2,1,66,3,3,1,3,0,0,0,0,4,0,4,0,1
5,0,0,34,5,0,3,0,66,3,4,0,2,0,0,0,0,3,0,1,1,1
5,0,0,28,5,0,3,1,66,1,3,0,3,0,0,0,0,1,0,2,0,1
5,0,0,27,5,0,2,1,66,3,3,0,3,0,0,1,0,1,0,0,0,1
5,0,1,21,5,0,3,1,66,1,3,2,1,0,0,0,1,2,0,2,0,1
5,0,1,22,5,0,3,0,66,1,2,0,3,0,0,0,0,2,0,0,0,1
5,0,1,34,5,0,3,1,63,3,5,0,4,0,0,0,0,2,0,4,0,0
5,0,1,33,5,1,2,1,66,1,5,1,3,0,0,0,1,4,0,4,0,1
5,0,1,30,5,0,3,1,66,1,5,1,3,0,0,0,0,3,0,2,0,0
5,0,1,21,5,0,2,1,66,1,1,1,1,0,0,0,0,3,0,4,0,0
5,0,1,22,5,0,3,1,66,1,2,0,2,0,0,0,1,1,1,1,0,0
5,0,0,21,5,0,2,1,66,1,3,2,3,0,0,0,1,2,0,3,0,0
5,0,0,22,5,0,3,1,66,1,3,0,3,0,0,0,0,4,0,4,0,1
5,0,1,28,5,1,3,1,66,3,3,1,1,0,0,0,1,3,0,4,0,0
5,0,1,33,5,0,2,1,66,1,4,0,4,0,0,0,0,2,0,3,0,1
5,0,1,23,5,0,2,1,66,1,1,0,2,0,0,0,0,3,0,3,0,1
5,0,0,23,4,0,3,1,76,3,3,0,3,0,0,0,1,3,0,3,0,1
5,0,1,24,5,0,3,1,66,1,4,0,3,0,0,0,1,3,0,3,0,1
5,0,1,21,5,0,2,1,66,1,4,0,3,0,0,0,0,4,0,2,0,1
5,0,1,28,5,1,3,1,66,1,3,1,4,0,0,0,1,4,0,4,0,1
5,0,1,27,5,0,3,1,66,1,2,1,4,0,0,0,0,4,0,3,0,0
5,0,0,23,5,0,3,1,66,3,3,1,3,0,0,0,0,4,0,3,0,1
5,0,1,24,5,0,2,1,66,1,4,0,3,0,0,0,1,2,0,4,0,0
5,0,0,27,5,0,1,1,66,1,4,2,3,0,0,0,0,1,0,3,1,0
5,0,0,24,5,0,2,1,66,1,3,0,2,0,0,0,0,3,0,4,0,1
5,0,0,26,5,0,3,1,76,3,3,0,3,0,0,0,0,4,0,3,0,1
5,0,1,31,5,0,2,1,66,1,4,0,0,0,0,0,0,1,0,4,0,1
5,0,1,22,5,0,3,1,66,3,2,0,1,0,0,0,0,3,0,1,0,0
4,0,0,20,5,0,3,1,66,1,4,0,3,0,0,0,0,4,0,0,0,0
5,0,1,38,4,2,2,1,66,1,2,2,1,0,0,0,0,3,0,1,0,1
5,0,1,23,5,0,2,1,66,3,3,0,3,0,0,0,0,3,0,3,0,0
5,0,0,27,5,0,3,1,76,3,4,0,2,0,0,0,0,1,0,1,0,1
5,0,1,27,5,0,3,1,66,3,3,0,0,0,0,0,0,1,0,3,0,0
5,0,1,24,5,0,3,0,66,1,3,0,4,0,0,0,0,4,0,3,0,1
5,0,0,22,5,0,3,1,66,1,2,0,4,0,0,0,0,4,0,3,0,0
2,0,1,28,5,0,3,1,66,1,4,0,2,0,0,0,0,1,0,3,0,0
5,0,1,26,5,0,3,1,66,1,4,0,3,0,0,0,0,1,0,4,0,0
5,0,0,25,5,0,3,1,66,1,4,0,3,0,0,0,0,1,0,4,0,1
5,0,1,21,5,0,3,1,66,1,5,0,4,0,0,0,0,3,0,2,0,0
5,0,1,24,5,0,3,1,66,1,3,0,3,0,0,0,0,2,0,4,1,1
5,0,1,25,5,0,3,1,66,1,3,4,0,0,0,0,1,4,0,0,1,1
5,0,1,46,4,2,3,1,66,1,4,4,3,0,0,0,0,0,0,4,0,1
5,0,1,24,5,0,2,1,66,1,2,0,3,0,0,0,0,3,0,3,0,1
5,0,0,32,5,2,3,1,66,1,2,2,3,0,0,0,0,2,0,2,1,0
5,0,0,30,5,0,3,1,66,1,3,0,3,0,0,0,0,1,0,4,0,1
5,0,1,27,5,0,3,1,66,1,2,1,1,0,0,0,0,3,0,4,0,1
5,0,1,26,5,0,3,1,66,3,3,0,1,0,0,0,0,1,0,2,0,1
5,0,1,22,5,0,2,1,66,1,4,0,4,0,0,0,1,4,0,2,0,0
5,0,1,35,4,0,3,1,66,1,3,1,1,0,0,0,0,3,0,4,0,1
5,0,1,32,5,0,3,1,66,3,3,1,3,0,0,0,0,1,0,3,1,1
1,0,1,44,3,3,3,0,66,1,3,4,4,0,0,0,0,4,0,3,0,0
5,0,0,22,5,0,3,1,66,3,3,0,3,0,0,0,0,4,0,2,0,0
5,0,1,27,5,0,2,1,66,3,3,0,3,0,0,0,1,1,0,4,0,1
5,0,1,28,5,0,3,1,66,1,4,0,3,0,0,0,0,4,0,4,0,0
5,0,0,30,5,0,2,1,66,1,4,0,3,0,0,0,0,1,0,2,0,0
5,0,0,23,5,0,3,1,66,3,3,0,2,0,0,0,0,2,0,4,0,0
5,0,1,27,5,0,2,1,66,1,2,0,1,0,0,0,0,1,0,4,0,0
5,0,1,24,5,0,1,1,66,1,4,0,3,0,0,0,0,3,0,1,0,1
5,0,1,35,4,1,3,1,66,1,3,3,1,0,0,0,1,4,0,4,0,0
5,0,1,21,5,0,3,1,66,3,2,0,1,0,0,0,1,4,0,4,0,0
5,0,1,27,5,0,0,1,76,3,2,0,4,0,0,0,1,1,0,0,0,0
5,0,0,41,4,1,2,1,66,1,3,1,4,0,0,0,0,3,0,4,0,1
5,0,1,35,4,0,3,1,66,3,3,1,2,0,0,0,1,2,0,3,0,1
5,0,0,21,5,0,3,1,66,1,3,0,3,0,0,0,0,4,0,4,0,1
5,0,1,24,5,0,3,1,66,1,2,0,1,0,0,0,0,4,0,3,0,0
5,0,0,36,3,0,3,1,66,3,2,0,1,0,0,0,0,2,0,3,0,0
5,0,1,22,5,0,2,1,66,1,3,0,4,0,0,0,1,2,0,4,0,1
5,0,1,27,5,0,2,1,63,3,3,0,4,0,0,0,0,2,0,1,0,1
5,0,1,25,5,0,2,1,66,3,4,1,4,0,0,0,0,4,0,3,0,1
5,0,1,30,5,0,1,1,66,1,4,0,3,0,0,0,0,1,0,2,0,1
5,0,1,37,5,0,3,1,66,1,2,1,2,0,0,0,1,4,0,4,0,1
5,0,0,23,5,0,3,1,66,3,3,2,4,0,0,0,0,2,0,3,1,0
5,0,1,23,5,0,2,1,66,3,2,5,3,0,0,0,1,2,0,3,1,0
5,0,0,24,5,0,3,1,66,1,3,0,3,0,0,0,0,2,0,4,1,1
5,0,0,22,5,0,3,1,76,3,1,0,3,0,0,0,1,4,0,3,1,1
5,0,1,22,5,0,3,1,66,3,3,0,3,0,0,0,1,4,1,4,1,0
3,0,1,26,5,0,3,0,66,1,4,0,2,0,0,0,1,3,0,3,1,1
5,0,0,29,5,0,3,1,66,3,3,0,3,0,0,0,1,3,0,1,1,0
5,0,0,25,5,0,3,1,66,1,1,0,3,0,0,0,1,4,0,2,1,0
5,0,1,29,5,0,3,0,66,1,5,0,3,0,0,0,1,2,0,1,1,1
5,0,1,26,5,0,3,0,66,1,6,0,4,0,0,0,1,1,0,4,1,1
5,0,1,27,5,0,3,1,66,1,4,0,3,0,0,0,1,4,0,3,1,1
5,0,0,28,5,0,3,1,66,3,4,0,1,0,0,0,0,3,0,1,1,1
5,0,1,26,5,0,3,1,66,3,3,0,3,0,0,0,0,4,0,2,0,1
5,0,1,22,5,0,2,1,66,1,3,1,3,0,0,0,0,3,0,3,1,1
5,0,0,43,5,0,3,1,66,3,3,0,1,0,0,0,1,1,0,1,1,1
5,0,0,26,5,0,1,1,66,1,1,0,1,0,0,0,1,4,0,1,0,1
5,0,0,27,5,0,3,1,66,1,3,0,3,0,0,0,1,1,0,4,1,1
5,0,0,31,5,0,3,1,66,1,3,0,4,0,0,0,1,4,0,4,1,1
3,0,0,34,5,1,3,1,66,3,3,2,4,0,0,0,1,1,0,4,1,1
5,0,1,38,5,0,3,1,66,3,3,0,3,0,0,1,1,1,0,4,0,0
5,0,0,27,5,0,2,1,66,1,2,0,4,0,0,0,1,1,0,2,1,1
5,0,0,34,5,0,3,1,66,1,2,0,3,0,0,0,1,1,0,4,1,0
5,0,1,29,3,0,3,1,66,1,2,2,3,0,0,0,1,1,0,1,1,1
5,0,1,36,5,0,2,1,66,1,3,0,3,0,0,0,1,1,0,4,1,1
2,0,1,45,5,1,3,1,66,1,4,1,3,0,0,0,1,1,0,4,0,1
5,0,1,24,5,0,3,1,66,3,3,1,4,0,0,0,1,2,0,2,1,1
5,0,1,29,5,0,3,1,66,1,3,0,1,0,0,0,1,2,0,2,0,1
5,0,1,26,5,0,3,1,66,1,1,0,3,0,0,0,1,3,0,1,1,1
5,0,1,31,5,0,1,1,66,1,2,1,3,0,0,0,1,4,0,1,1,0
5,0,1,25,5,0,3,1,66,3,3,0,4,0,0,0,1,3,0,0,1,1
2,0,1,36,5,0,1,1,66,1,3,0,0,0,0,0,0,1,0,2,1,1
5,0,1,30,5,0,3,1,66,1,4,0,4,0,0,0,1,1,0,3,1,1
5,0,1,23,5,0,2,1,66,1,1,0,3,0,0,0,1,4,0,2,1,1
5,0,1,27,5,0,3,1,76,3,3,0,4,0,0,0,1,3,0,1,1,1
5,0,1,21,5,0,3,1,66,1,4,0,1,0,0,0,0,3,0,4,1,0
5,0,1,23,5,0,2,1,66,1,4,0,3,0,0,0,0,3,0,4,0,1
5,0,0,23,5,0,1,1,66,3,1,0,3,0,0,0,1,2,0,2,1,1
5,0,1,20,5,0,2,0,66,1,4,0,3,0,0,0,0,4,0,2,1,0
5,0,1,27,5,0,3,0,66,3,4,0,3,0,0,0,1,1,0,3,1,1
5,0,1,27,5,0,2,1,66,1,2,0,3,0,0,0,1,1,0,1,0,1
5,0,0,26,5,0,2,1,66,1,3,0,1,0,0,0,1,1,0,1,1,1
5,0,0,23,5,0,3,1,66,1,4,0,3,0,0,0,1,3,0,3,0,1
4,0,1,21,5,0,1,1,66,3,2,0,3,0,0,0,1,4,0,2,1,1
5,0,0,21,5,0,2,1,66,3,3,0,3,0,0,0,1,4,0,2,1,0
5,0,1,22,5,0,2,1,66,1,2,0,3,0,0,0,1,2,0,3,1,1
5,0,0,20,5,0,3,1,66,1,4,0,1,0,0,0,1,4,0,3,1,1
5,0,0,20,5,0,3,1,66,1,3,0,0,0,0,0,1,4,0,3,1,1
5,0,1,20,5,0,2,1,66,1,4,0,3,0,0,0,1,3,0,2,1,1
5,0,0,21,5,0,2,1,66,3,3,0,3,0,0,0,1,2,0,0,1,1
5,0,0,27,5,0,3,1,66,1,3,0,4,0,0,0,1,3,0,1,1,0
5,0,0,27,5,0,3,1,66,1,3,0,1,0,0,0,1,3,0,1,0,0
5,0,1,21,5,0,2,1,66,3,2,0,3,0,0,0,0,4,0,1,0,1
5,0,1,21,5,0,3,0,66,3,3,0,1,0,0,0,0,4,0,2,1,1
5,0,1,23,5,0,3,1,76,3,3,0,3,0,0,0,1,4,0,2,1,1
5,0,0,22,5,0,3,1,66,1,5,0,3,0,0,0,1,4,0,4,1,1
5,0,1,25,5,0,2,1,66,1,3,0,4,0,0,0,1,3,0,4,1,1
5,0,1,28,5,0,1,1,66,3,3,0,1,0,0,0,1,1,0,4,1,1
5,0,1,22,5,0,2,1,66,3,2,0,3,0,0,0,1,4,0,0,1,0
5,0,0,20,5,0,2,1,66,1,2,0,1,0,0,0,1,4,0,4,1,1
5,0,1,25,5,0,3,1,66,3,3,1,3,0,0,0,1,3,0,4,1,1
5,0,0,22,5,0,3,1,66,1,3,0,3,0,0,0,1,3,0,2,1,0
5,0,1,21,5,0,3,1,66,1,4,0,3,0,0,0,0,4,0,4,1,1
5,0,1,25,5,0,1,1,66,3,2,0,3,0,0,0,1,3,0,1,0,1
5,0,1,56,5,0,2,1,66,1,4,1,0,0,0,0,1,1,0,2,1,1
5,0,0,23,5,0,3,1,66,1,3,1,3,0,0,0,1,3,0,1,1,1
3,0,1,33,5,0,3,0,66,1,1,0,2,0,0,0,1,1,0,4,1,0
5,0,0,25,5,0,3,1,66,3,2,0,3,0,0,0,1,2,0,0,1,0
5,0,1,23,5,0,3,0,66,3,2,0,4,0,0,0,1,3,0,3,1,1
3,0,1,27,5,0,2,1,66,1,3,0,3,0,0,0,0,3,0,2,1,1
4,0,1,20,5,0,3,1,66,1,3,0,4,0,0,0,1,4,0,3,0,1
4,0,0,20,5,0,3,1,66,3,3,0,3,0,0,0,1,4,0,2,1,1
5,0,1,24,5,0,2,1,66,3,4,0,1,0,0,0,1,2,0,2,1,1
4,0,1,20,5,0,2,1,66,3,3,0,3,0,0,0,1,4,0,2,1,1
5,0,1,28,5,0,2,1,76,3,3,0,3,0,0,0,1,1,0,0,0,1
4,0,0,20,5,0,1,1,66,3,3,0,3,0,0,0,1,4,0,4,1,0
5,0,1,30,5,0,2,1,66,1,3,0,3,0,0,0,0,3,0,1,1,1
4,0,1,19,5,0,3,1,66,1,5,0,1,0,0,0,0,4,0,0,1,1
5,0,1,21,5,0,2,1,66,3,4,0,1,0,0,0,1,4,0,4,1,1
5,0,1,25,5,0,3,1,66,3,2,0,3,0,0,0,1,1,0,1,1,1
5,0,1,31,5,1,2,1,66,1,5,1,3,0,0,0,1,1,0,4,1,1
5,0,1,24,5,0,3,1,66,1,4,0,3,0,0,0,0,4,0,1,1,1
5,0,0,22,5,0,2,1,66,1,2,2,4,0,0,0,1,4,0,2,1,0
5,0,1,30,5,0,3,1,66,1,3,1,4,0,0,0,1,3,0,1,1,1
5,0,1,20,5,0,2,1,66,3,2,1,1,0,0,0,1,4,0,4,1,1
4,0,1,20,5,0,2,1,66,1,3,0,3,0,0,0,1,3,0,3,1,0
5,0,1,23,5,0,3,1,66,1,5,0,4,0,0,0,1,4,0,1,1,0
4,0,1,20,5,0,2,1,66,3,3,2,3,0,0,0,1,4,0,2,1,1
5,0,0,21,5,0,3,1,66,1,4,0,4,0,0,0,1,3,0,2,1,1
5,0,1,21,5,0,3,1,66,1,1,0,3,0,0,0,0,4,0,4,1,1
5,0,0,24,5,0,2,1,66,1,4,0,3,0,0,0,1,3,0,1,1,0
5,0,0,28,5,0,3,1,66,1,2,0,3,0,0,0,1,3,0,2,1,1
5,0,1,20,5,0,3,1,66,1,2,3,3,0,0,0,1,4,0,4,0,0
5,0,0,41,5,0,3,1,66,3,3,0,3,0,0,0,0,2,0,2,1,1
5,0,0,20,5,0,3,1,66,1,6,0,3,0,0,0,1,4,0,0,1,1
5,0,0,21,5,0,2,1,66,3,2,0,3,0,0,0,1,3,0,3,1,0
3,0,1,28,5,0,3,1,66,1,3,1,4,0,0,0,1,1,0,3,1,1
5,0,0,21,5,0,2,1,66,3,4,0,3,0,0,0,0,4,0,4,1,1
4,0,0,20,5,0,3,1,66,3,3,0,3,0,0,0,1,4,0,2,1,1
2,0,1,29,4,0,3,1,66,1,3,2,4,0,0,0,0,4,0,4,1,1
1,0,1,22,5,0,3,1,66,1,2,0,4,0,0,0,0,4,0,4,1,0
5,0,1,21,5,0,3,1,66,3,2,0,3,0,0,0,1,4,0,2,1,1
5,0,1,27,5,0,3,0,66,3,2,1,4,0,0,0,1,4,0,4,1,1
5,0,1,27,5,0,3,1,66,1,6,0,1,0,0,0,1,1,0,3,1,1
5,0,0,20,5,0,3,1,66,3,2,0,1,0,0,0,1,4,0,2,1,1
5,0,0,36,3,0,2,1,66,3,3,0,3,0,0,0,1,1,0,3,1,1
3,0,1,29,5,0,1,0,66,1,2,0,1,0,0,0,0,1,0,4,0,1
5,0,1,20,5,0,3,1,66,1,4,0,1,0,0,0,1,4,0,2,1,0
5,0,1,20,5,0,3,1,66,1,2,2,1,0,0,0,1,4,0,4,1,1
5,0,0,29,5,0,2,1,66,3,3,1,3,0,0,0,1,2,0,4,0,1
5,0,0,29,5,0,3,1,66,1,2,0,1,0,0,0,1,1,0,4,1,1
5,0,1,20,5,0,2,1,66,1,2,0,3,0,0,0,0,4,0,4,0,0
5,0,1,29,5,0,3,1,66,1,1,0,3,0,0,0,1,3,0,3,1,1
5,0,1,20,5,0,3,1,66,1,4,1,1,0,0,0,1,3,0,4,1,1
5,0,1,23,5,0,3,1,66,1,4,0,1,0,0,0,0,3,0,2,1,1
5,0,0,25,5,0,3,0,76,3,3,0,4,0,0,0,1,4,0,4,1,1
5,0,1,35,5,0,3,1,66,1,3,2,3,0,0,0,1,1,0,3,0,1
5,0,1,30,5,0,2,1,66,3,2,0,3,0,0,0,0,1,0,4,0,1
4,0,1,20,5,0,2,1,66,1,2,2,0,0,0,0,1,4,0,4,1,0
5,0,1,22,5,0,2,1,66,1,3,1,3,0,0,0,1,4,0,3,1,1
5,0,0,22,5,0,2,1,66,3,4,0,3,0,0,0,1,3,0,4,1,1
2,0,0,31,4,1,2,1,66,1,1,1,3,0,0,0,0,2,0,4,0,0
5,0,1,21,5,0,2,1,66,1,6,0,1,0,0,0,1,4,0,0,1,1
5,0,1,30,5,0,3,1,66,1,3,1,4,0,0,0,1,1,0,4,1,1
5,0,0,33,5,0,3,1,66,1,2,0,1,0,0,0,1,1,0,2,1,1
5,0,1,25,5,0,3,1,66,3,4,0,3,0,0,0,0,1,0,0,1,1
5,0,1,26,5,0,3,0,66,1,3,2,3,0,0,0,1,3,0,3,1,1
5,0,1,32,5,0,3,1,66,1,3,1,3,0,0,0,1,4,0,3,0,1
5,0,1,20,5,0,3,1,66,1,3,2,3,0,0,0,1,4,0,2,1,1
5,0,1,26,5,0,3,1,66,1,2,0,1,0,0,0,0,4,0,3,1,1
5,0,1,21,5,0,3,1,66,3,3,0,3,0,0,0,0,4,0,4,0,1
5,0,1,41,5,0,3,1,66,3,3,0,2,0,0,0,0,1,0,4,0,1
5,0,1,29,5,0,3,0,66,1,3,0,3,0,0,0,1,1,0,3,1,1
5,0,0,26,5,0,3,1,66,3,3,0,3,0,0,0,0,4,0,1,1,1
5,0,1,22,5,0,2,1,66,1,3,1,1,0,0,0,1,4,0,4,1,1
5,0,1,40,5,0,3,1,66,1,3,0,1,0,0,0,1,1,0,1,0,1
5,0,1,30,5,0,3,1,66,1,3,1,3,0,0,0,1,1,0,4,1,1
5,0,1,27,5,0,0,1,66,3,2,1,3,0,0,0,1,3,0,1,1,0
5,0,1,24,5,0,2,1,66,3,2,0,3,0,0,0,1,1,0,1,1,1
5,0,1,56,4,1,3,1,66,3,3,2,3,0,0,0,1,4,0,4,1,0
5,0,1,23,5,0,3,1,66,1,1,0,2,0,0,0,1,4,0,4,1,1
5,0,0,27,5,0,2,1,63,3,2,0,2,0,0,0,0,1,0,0,1,1
5,0,0,33,5,0,2,1,66,1,2,1,4,0,0,0,1,2,0,4,1,1
5,0,0,21,5,0,2,1,66,1,5,0,3,0,0,0,1,4,0,0,1,1
5,0,1,31,5,0,2,1,76,3,4,0,1,0,0,0,0,1,0,3,0,1
5,0,0,21,5,0,3,1,66,3,2,2,3,0,0,0,1,4,0,4,1,0
5,0,0,22,5,0,2,1,66,1,3,0,3,0,0,0,0,4,0,4,1,0
5,0,1,27,5,0,3,1,66,1,4,0,3,0,0,0,1,3,0,3,1,0
5,0,0,27,5,0,3,1,66,1,5,0,1,0,0,0,1,1,0,2,1,1
5,0,1,28,5,2,3,1,66,3,3,2,3,0,0,0,1,4,0,4,1,1
2,0,0,48,5,0,3,1,66,3,2,0,3,0,0,0,1,1,0,1,0,1
5,0,1,34,5,0,3,1,66,3,3,2,3,0,0,0,0,1,0,4,0,1
3,0,0,56,5,1,3,0,66,3,3,0,2,0,0,0,1,1,0,4,1,0
4,0,1,20,5,0,3,1,66,1,1,0,3,0,0,0,1,4,0,4,1,1
5,0,1,21,5,0,2,1,66,1,2,3,3,0,0,0,1,4,0,4,1,1
5,0,1,22,5,0,2,1,66,1,2,0,1,0,0,1,1,4,0,2,1,1
5,0,0,24,5,0,3,1,66,3,3,2,3,0,0,0,0,4,0,3,1,1
5,0,1,21,5,0,3,0,17,3,3,2,3,0,0,0,1,2,0,2,1,1
5,0,0,23,5,0,1,1,66,1,4,0,4,0,0,0,1,4,0,1,1,1
5,0,1,20,5,0,2,1,66,1,5,0,3,0,0,0,1,4,0,2,1,1
5,0,1,20,5,0,1,1,66,1,1,0,1,0,0,0,0,3,0,0,1,0
5,0,1,21,5,0,3,1,66,3,2,0,2,0,0,0,1,4,0,3,1,1
5,0,0,31,5,0,3,0,66,1,3,0,2,0,0,0,0,1,0,2,1,1
5,0,1,26,5,0,3,1,66,1,2,1,3,0,0,1,1,3,0,4,1,1
5,0,1,30,5,0,3,1,66,1,4,1,1,0,0,0,1,2,0,4,0,1
5,0,1,20,5,0,1,1,66,1,4,0,0,0,0,0,1,4,0,3,1,0
5,0,1,26,5,0,3,1,66,1,5,0,3,0,0,0,1,1,0,4,0,1
5,0,0,33,5,1,2,1,66,3,3,1,2,0,0,0,1,2,0,2,1,0
5,0,1,22,5,0,3,1,66,1,1,0,1,0,0,0,1,4,0,2,1,1
5,0,1,22,5,0,3,1,66,1,3,0,4,0,0,0,1,3,0,1,1,0
5,0,1,41,5,1,1,1,66,1,3,1,2,0,0,0,1,3,0,4,1,1
5,0,0,25,5,0,2,1,66,1,3,0,3,0,0,0,1,3,0,4,1,0
5,0,0,20,5,0,3,1,66,3,3,0,3,0,0,0,1,4,0,4,1,1
5,0,1,51,5,1,1,0,66,1,3,1,3,0,0,0,1,0,0,3,1,1
5,0,1,26,5,0,2,1,63,3,3,0,3,0,0,0,1,1,0,1,1,1
5,0,1,31,5,0,2,1,66,3,4,0,2,0,0,0,1,1,0,2,1,1
5,0,1,23,5,0,2,1,66,1,2,0,1,0,0,0,1,3,0,1,1,0
5,0,1,27,5,0,3,1,66,3,3,0,2,0,0,0,1,1,0,2,0,1
5,0,0,32,5,0,3,1,66,1,3,0,2,0,0,0,1,1,0,4,1,0
5,0,1,43,3,2,3,0,66,1,2,3,2,0,0,0,0,2,0,2,1,1
5,0,1,22,5,0,3,1,66,1,1,0,3,0,0,0,1,4,0,3,1,1
5,0,1,29,5,0,3,1,66,1,5,0,3,0,0,0,0,1,0,2,1,0
5,0,0,22,5,0,1,1,66,3,3,0,1,0,0,0,1,4,0,1,1,1
4,0,1,20,5,0,3,1,66,1,4,0,3,0,0,0,0,4,0,1,1,0
3,0,1,27,5,1,3,0,66,3,3,2,3,0,0,0,1,4,0,4,1,0
5,0,1,31,5,0,1,1,66,1,6,0,3,0,0,0,1,3,0,2,1,1
5,0,0,30,5,0,2,1,66,3,4,0,4,0,0,0,1,1,0,4,0,1
5,0,1,21,5,0,2,1,76,3,2,0,4,0,0,0,1,4,0,3,1,1
5,0,1,20,5,0,3,1,66,1,2,0,1,0,0,0,1,4,0,3,1,1
5,0,1,25,5,0,3,1,76,3,3,0,3,0,0,0,1,2,0,3,1,1
5,0,1,21,5,0,3,1,66,3,2,1,3,0,0,0,1,4,0,4,1,1
5,0,0,29,5,0,2,1,66,3,3,0,4,0,0,0,1,1,0,2,1,1
5,0,0,38,5,3,3,1,66,1,3,3,2,0,0,0,1,1,0,4,1,0
5,0,1,24,5,0,2,1,66,1,1,0,3,0,0,0,1,1,0,2,1,1
5,0,1,28,5,0,2,1,63,3,1,0,4,0,0,0,1,1,0,1,1,1
5,0,1,30,4,0,1,1,66,3,2,1,4,0,0,0,1,3,0,4,1,1
5,0,1,35,5,0,2,1,66,1,3,3,3,0,0,0,1,2,0,4,1,1
5,0,0,28,5,0,3,1,66,1,4,0,3,0,0,0,1,1,0,1,1,1
5,0,1,41,5,0,2,1,66,1,6,1,3,0,0,0,0,4,0,0,1,1
5,0,1,25,5,0,3,0,66,1,3,1,3,0,0,0,1,3,0,3,1,0
5,0,1,46,5,1,1,1,66,1,3,2,2,0,0,0,1,0,0,4,0,1
5,0,1,20,5,0,3,1,66,1,4,0,3,0,0,0,0,3,0,0,0,1
5,0,1,28,5,0,3,1,66,1,2,1,1,0,0,0,1,1,0,1,1,0
5,0,0,20,5,0,2,1,66,1,5,0,3,0,0,0,1,2,0,1,1,0
5,0,0,27,5,0,2,1,66,3,3,0,3,0,0,0,1,1,0,4,1,1
5,0,0,27,5,0,3,1,66,3,3,1,2,0,0,0,1,2,0,3,1,1
5,0,1,20,5,0,2,1,66,1,4,0,3,0,0,0,1,4,0,4,1,1
5,0,1,22,5,0,1,1,66,1,4,0,4,0,0,0,1,4,0,3,0,1
5,0,1,26,5,0,3,1,66,1,5,0,2,0,0,0,1,1,0,4,1,1
5,0,0,23,5,0,3,1,66,1,1,1,4,0,0,0,0,4,0,3,1,0
5,0,1,23,5,0,3,1,66,1,2,0,3,0,0,0,1,1,0,3,1,1
5,0,1,29,5,0,0,1,66,1,5,0,3,0,0,0,1,1,0,3,1,1
5,0,1,22,5,0,3,1,63,3,1,1,3,0,0,0,1,4,0,0,0,1
5,0,0,25,3,0,2,1,66,1,2,1,4,0,0,0,1,4,0,4,1,1
5,0,0,33,5,0,3,1,66,1,5,0,2,0,0,0,1,0,0,4,1,1
5,0,1,26,4,0,2,0,63,3,3,0,2,0,0,0,0,1,0,3,1,1
5,0,0,30,5,0,2,1,63,3,2,0,2,0,0,0,1,1,0,0,0,1
5,0,1,46,4,2,3,1,17,3,3,3,2,0,0,0,1,2,0,0,1,1
5,0,0,27,5,0,3,1,66,1,2,0,3,0,0,0,1,1,0,4,0,1
5,0,1,40,5,0,3,1,66,1,4,2,3,0,0,0,1,4,0,3,1,1
5,0,0,40,5,2,3,1,66,3,2,0,2,0,0,0,1,4,0,2,1,1
5,0,1,25,3,1,3,1,66,1,3,2,3,0,0,0,1,3,0,2,1,1
5,0,0,25,5,0,3,1,66,1,1,0,3,0,0,0,1,2,0,3,1,1
5,0,1,26,5,0,3,1,66,3,3,0,3,0,0,0,1,1,0,4,1,1
5,0,1,36,5,0,2,1,66,1,4,0,3,0,0,0,1,2,0,3,1,1
5,0,1,29,5,0,3,1,66,1,5,0,4,0,0,0,0,1,0,3,1,1
5,0,1,29,5,0,3,1,66,3,3,0,2,0,0,0,1,3,0,4,1,0
5,0,1,28,5,0,3,1,66,1,5,0,4,0,0,0,1,1,0,4,1,1
3,0,1,26,5,0,3,1,66,3,3,0,4,0,0,0,1,4,0,3,1,0
5,0,1,24,5,0,3,1,63,3,1,0,4,0,0,0,1,3,0,1,1,1
5,0,0,24,5,0,3,1,76,3,3,0,2,0,0,0,1,2,0,3,0,1
5,0,1,24,5,0,3,1,66,1,4,1,3,0,0,0,0,3,0,1,1,1
5,0,0,20,5,0,3,1,66,3,3,0,3,0,0,0,1,4,0,2,1,1
5,0,0,28,5,0,3,1,66,1,2,1,2,0,0,0,1,2,0,3,1,0
5,0,1,26,5,0,3,0,66,3,1,0,3,0,0,0,1,3,0,3,1,1
5,0,0,21,5,0,3,1,66,1,3,0,3,0,0,0,1,3,0,2,1,0
5,0,1,21,5,0,3,1,66,3,3,0,2,0,0,0,1,4,0,3,1,1
5,0,0,27,5,0,3,1,17,3,5,0,2,0,0,0,1,3,0,0,1,1
5,0,1,25,5,0,3,1,66,3,5,0,4,0,0,0,1,1,0,1,1,0
5,0,1,25,5,0,3,0,63,3,3,2,3,0,0,0,1,4,0,3,0,0
5,0,0,20,5,0,3,1,66,1,2,0,4,0,0,0,1,2,0,4,1,1
5,0,0,36,5,1,2,1,66,1,4,2,2,0,0,0,1,3,0,2,1,1
